Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),Source (J),Source (K),Source (L),Source (M),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
B002EEP3RU,Kindle Store,"[75, 78]",3.0,0.9230769230769231,3.311111111111111,1.0,"Valoro el esfuerzo de Prisa y el mundo de lanzar ediciones para el Kindle,pero no es de recibo que no se puedan actualizar y sean mas caras que las ediciones de Papel Y/O las ediciones en PDF que venden en color desde sus p&aacute;ginas web. Por lo tanto no tienen valor a&ntilde;adido. Por el mismo precio me la compro en papel y tengo mas secciones, o me suscribo a la edicion en pdf por 70 al a&ntilde;o y aqui me estan cobrando 13 al mes. &iquest;Se nota el enga&ntilde;o no?",90,AQQO06OHGTKO3,Incompleto y caro,3,1.0,101,88.12,24.40,1.00,25.77,25.25,8.91,15.84,9.90,2.97,2.97,2.97,0.00,0.00,0.00,0.00,0.00,2.97,0.00,0.00,0.00,0.00,3.96,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.96,0.00,3.96,0.00,0.00,0.00,16.83,2.97,1.98,0.00,4.95,0.99,0.00,0.00,0.00,0.00,0.00,5.94
B002EEP3RU,Kindle Store,"[16, 24]",2.0,0.3333333333333333,3.311111111111111,5.0,"I initially subscribed to ""El Pais"" because I need to stay on top of the news from Spain for professional reasons. Getting this, most popular&lt; Spanish newspaper on my Kindle before it hits the newsstands in Spain, was a fantastic opportunity for me to keep in touch. It's easy for other reviewers to say that the paper copy is better, but in the place where I live in the US hoping to find a copy of ""El Pais"" on the newsstand is ridiculous.After being subscribed to ""El Pais"" on my Kindle for a few months, I have cancelled all my subscription to the US newspapers. ""El Pais"" is a great place to find honest, well-written, engaged reporting about events in the US, Europe, and the entire Spanish speaking world. If I want to find some unbiased and well-researched articles about what is going on in the US, ""El Pais"" is the best place to go.One of the great things about this newspaper is that, unlike in the US where journalists seem to be nearly illiterate, the people who write for the Spanish paper have a really good writing style. Also, you can find articles by the leading Spanish-language novelists in almost every issue of ""El Pais."" Juan Goytisolo, Vargas Llosa, Almudena Grandes, Elvira Lindo, and many others write for ""El Pais"" on a regular basis.De veras es el mejor periodico que he leido jamas en mi vida. Aunque haya partes que le falten a la edicion digital o lo que sea, igual recomiendo que lo compren si no tienen acceso a la version impresa.",264,A3CNM18PWKI1Z9,Adoro este periodico,3,5.0,271,95.28,54.41,27.12,97.30,33.88,17.71,68.63,44.65,9.96,5.90,3.32,1.85,0.37,0.37,0.00,4.06,8.86,15.87,4.80,4.06,2.58,0.37,11.81,5.54,2.21,1.48,0.37,2.58,5.90,5.54,0.37,0.00,0.37,0.00,5.17,0.00,0.00,0.00,0.37,9.59,2.21,1.48,1.48,2.58,1.11,2.58,1.11,0.00,0.74,0.37,0.37,0.00,0.37,0.00,0.00,5.17,1.85,1.85,1.11,2.58,0.00,0.74,9.23,0.74,11.07,1.48,8.12,1.85,4.06,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.37,0.00,0.74,0.00,17.71,4.06,6.27,0.00,0.37,0.00,0.00,1.11,5.17,0.37,0.00,0.37
B002EEP3RU,Kindle Store,"[33, 34]",3.0,0.9411764705882353,3.311111111111111,3.0,"Me he tomado la molestia de comparar art&iacute;culo por art&iacute;culo el contenido de la edici&oacute;n para Kindle y la edici&oacute;n para papel. El contenido que se env&iacute;a al Kindle es casi completo, incluye el 100% de los art&iacute;culos, excepto las cartas al director. Lamentablemente, las im&aacute;genes no se env&iacute;an, con lo cual tampoco se puede disfrutar del chiste diario de Forges.Teniendo en cuenta esto, a m&iacute; me resulta una soluci&oacute;n tremendamente interesante: vivo en Alemania y me niego a pagar 2 euros a diario por la edici&oacute;n en papel, 3.30 los domingos. Eso har&iacute;a un presupuesto mensual de unos 70 euros; por unos 15 euros al mes tengo el peri&oacute;dico a diario entregado antes de despertarme.Es una l&aacute;stima que esta suscripci&oacute;n no proporcione los derechos que da la suscripci&oacute;n tradicional, como acceso al PDF y a la hemeroteca.Por todo ello, le doy 3 estrellas; en mi caso muy interesante, entiendo que para muchos otros no llegue a tener tanto inter&eacute;s.A m&iacute; me queda la esperanza de que tarde o temprano a Amazon le salgan m&aacute;s econ&oacute;micos los acuerdos de roaming internacional y decidan permitir a&ntilde;adir las im&aacute;genes de los art&iacute;culos; El Pa&iacute;s y el resto de peri&oacute;dicos deber&iacute;an presionar para que eso suceda cuanto antes.",205,A1BNQ204E3ZDSZ,Contenido completo pero sin im&aacute;genes,5,3.0,259,93.20,39.34,1.00,19.97,64.75,14.67,15.06,8.88,2.70,2.70,2.32,0.00,0.00,0.39,0.00,0.00,5.02,0.00,0.77,0.00,0.00,1.16,0.77,0.39,0.39,0.00,2.32,0.00,0.39,0.00,0.39,0.00,0.00,0.00,0.77,0.39,0.00,0.00,0.77,0.77,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.77,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.77,1.54,0.00,1.54,0.00,0.00,0.77,0.00,0.77,0.00,0.00,0.00,28.57,3.09,3.47,0.39,11.20,0.00,0.00,0.00,0.00,0.00,0.00,10.42
B002EEP3RU,Kindle Store,"[6, 26]",0.0,-0.5384615384615384,3.311111111111111,1.0,"Decadent journalism, currently critizising Socialist Government as ceased to favour publishing holding like in the past. Nothing new anyway. They did almost the same when Villalonga was Telefonica president and they changed their comments about him as many times they considered him friend or foe.",45,A1TB2KVWNUHLQZ,Old glory,2,1.0,45,45.11,94.01,43.37,25.77,15.00,33.33,86.67,48.89,13.33,13.33,0.00,0.00,0.00,4.44,8.89,0.00,4.44,13.33,4.44,8.89,11.11,2.22,8.89,8.89,8.89,2.22,0.00,2.22,4.44,2.22,2.22,0.00,2.22,0.00,20.00,0.00,2.22,0.00,4.44,11.11,2.22,2.22,0.00,4.44,2.22,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.89,2.22,0.00,4.44,0.00,2.22,8.89,2.22,0.00,20.00,2.22,2.22,15.56,6.67,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,0.00,2.22,8.89,6.67,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B002EEP3RU,Kindle Store,"[29, 29]",3.0,1.0,3.311111111111111,2.0,"El problema no est&aacute; en las limitaciones que ofrece esta suscrpici&oacute;n, que son bastantes por cierto. A saber: falta casi absoluta de fotograf&iacute;as o gr&aacute;ficos, ausencia de secciones enteras, exclusi&oacute;n de todos los suplementos, y m&aacute;s cosas. El problema es que aun aceptando estas limitaciones el producto podr&iacute;a ser interesante si no estuviera claramente fuera de precio. Lo que Amazon y El Pa&iacute;s nos venden a 20 euros no es m&aacute;s que un resumen de rss empaquetado como .awz, nada dif&iacute;cil de conseguir en la red. Para comparar: conseguir el contenido pleno del peri&oacute;dico nos costar&iacute;a por otros medios entre 0 euros (elpais.es) y menos de 30 (suscripci&oacute;n en papel). El precio de 19,99 es comparativamente injustificable.Corten el precio a la tercera parte y comenzar&iacute;a a considerarlo.",127,A2ZU84PAXU4AP2,Fuera de precio,3,2.0,157,95.01,47.45,1.00,9.92,26.17,19.11,16.56,7.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.46,0.64,0.00,0.00,0.64,1.91,0.00,2.55,1.91,0.00,3.18,0.64,1.27,0.00,1.27,0.00,0.00,0.00,1.27,1.27,0.00,0.00,1.27,1.91,0.00,0.64,1.27,0.00,0.00,0.00,0.64,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,0.00,1.27,0.00,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,0.00,1.27,0.00,0.00,0.64,0.00,0.64,0.00,0.00,0.00,31.21,5.73,3.82,1.27,8.92,0.00,0.00,0.00,0.00,0.00,2.55,8.92
B002EEP3RU,Kindle Store,"[13, 13]",3.0,1.0,3.311111111111111,1.0,"Es triste que el bajo coste de los formatos digitales no se repercuta en el precio para el usuario final.El precio de esta edicion es el mismo que en papel, sin imagenes, sin la mayoria de las secciones...Resumiendo. No vale la pena.",42,A1ODWKIYMBI5CP,Decepci&oacute;n,1,1.0,44,87.28,32.48,1.00,1.00,22.00,20.45,13.64,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,2.27,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00,0.00,2.27,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,13.64,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B002EEP3RU,Kindle Store,"[1, 13]",0.0,-0.8461538461538461,3.311111111111111,5.0,"Quality journalism gathering a diverse collection of voices covering local, national and international topics indepth.",15,A8PMHRQ87C5PT,Periodismo de calidad,3,3.0,15,97.34,74.76,43.37,25.77,15.00,60.00,53.33,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B002IT5JMK,Kindle Store,"[3, 11]",1.0,-0.45454545454545453,2.7866666666666666,1.0,"Infelizmente &eacute; um jornal pouco confi&aacute;vel do Brasil.Recomendo o estado de so paulo ou a folha de so paulo.Aguarde estes, no torre 15 d&oacute;lares / ms com este lixo.",29,A2KL9TSQJ1QXAX,Jornal pouco confi&aacute;vel,3,1.0,34,66.07,50.00,1.00,25.77,34.00,8.82,23.53,14.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,2.94,5.88,5.88,2.94,2.94,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,2.94,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,2.94,0.00,2.94,0.00,32.35,8.82,2.94,0.00,8.82,0.00,0.00,0.00,0.00,0.00,0.00,11.76
B002IT5JMK,Kindle Store,"[20, 21]",3.0,0.9047619047619048,2.7866666666666666,5.0,I am not a brazilian - but i am getting ready to go to brazil for work. I have basic knowledge of Portuguese and wanted to get some books in portuguese on my Kindle to no avail.O Globo came to the rescue. I now read this newspaper religiously every morning which helps me not only to better my Portuguese but also to learn about the current topics in Brazil. I am also getting sensitized to the things that Brazilians care about - the amount of soccer news and analysis is astounding.Not many countries have newspapers on Kindle - Brazil does. Bravo!!,101,AWFVK3MV1O1NQ,"Practical, excellent way to read a foreign newspaper",8,5.0,100,70.40,5.50,74.76,91.14,20.00,17.00,80.00,53.00,12.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,5.00,17.00,7.00,6.00,6.00,4.00,17.00,2.00,1.00,1.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,11.00,3.00,0.00,1.00,1.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,2.00,0.00,4.00,0.00,2.00,15.00,0.00,10.00,2.00,5.00,3.00,5.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,11.00,6.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00
B002IT5JMK,Kindle Store,"[38, 39]",3.0,0.9487179487179487,2.7866666666666666,2.0,"Muito legal um jornal todo dia cedinho no seu Kindle.Pena que essa assinatura de O Globo &eacute; to resumida, no tem todos os cadernos da verso impressa e chega muito tarde.Ao menos no per&iacute;odo de ""trial"" foi assim. Foi normal receber a mensagem avisando que a edio estava atrasada.O preo seria justo se o conte&uacute;do fosse completo e se chegasse no hor&aacute;rio.Por isso cancelamos a assinatura.",66,A1NCIXXMFR72MR,"Cara, resumida e atrasada...",4,2.0,76,91.46,34.64,1.00,50.32,38.00,17.11,22.37,11.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.95,1.32,1.32,0.00,0.00,5.26,1.32,1.32,0.00,0.00,0.00,0.00,1.32,1.32,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,6.58,0.00,5.26,0.00,1.32,0.00,22.37,7.89,1.32,0.00,5.26,0.00,0.00,0.00,2.63,0.00,0.00,5.26
